id,workload,max_width,tasktype
0,26,1,MEMORY
1,65,4,FMULT
2,76,2,SIMD
3,78,4,MEMORY
4,89,2,FMULT
5,68,2,FMULT
6,61,4,FMULT
7,82,4,SIMD
8,25,2,MEMORY
9,35,1,MEMORY
10,29,4,FMULT
11,10,2,FMULT
12,35,4,MEMORY
13,56,2,SIMD
14,18,1,MEMORY
15,89,4,SIMD
16,23,4,MEMORY
17,37,4,FMULT
18,31,2,MEMORY
19,7,4,FMULT
20,44,2,FMULT
21,83,2,FMULT
22,64,4,MEMORY
23,64,2,SIMD
24,66,4,FMULT
25,39,1,MEMORY
26,73,2,FMULT
27,27,4,MEMORY
28,51,2,FMULT
29,28,1,SIMD
30,65,2,MEMORY
31,94,4,MEMORY
32,7,2,FMULT
33,65,4,SIMD
34,4,4,SIMD
35,37,4,MEMORY
36,56,2,MEMORY
37,28,2,SIMD
38,2,2,MEMORY
39,20,2,MEMORY
40,16,4,MEMORY
41,20,2,FMULT
42,42,1,SIMD
43,16,1,FMULT
44,53,4,SIMD
45,6,1,SIMD
46,66,2,SIMD
47,14,4,MEMORY
48,46,1,FMULT
49,89,2,FMULT
50,90,4,SIMD
51,1,1,SIMD
52,21,2,FMULT
53,95,4,SIMD
54,87,2,MEMORY
55,40,2,SIMD
56,49,4,MEMORY
57,20,4,SIMD
58,87,2,MEMORY
59,44,1,MEMORY
