id,workload,max_width,tasktype
0,22,4,MEMORY
1,96,2,SIMD
2,53,2,SIMD
3,36,1,MEMORY
4,5,4,MEMORY
5,81,4,SIMD
6,64,2,MEMORY
7,49,2,FMULT
8,7,1,MEMORY
9,50,4,MEMORY
10,47,2,FMULT
11,92,2,SIMD
12,1,2,SIMD
13,50,2,SIMD
14,13,1,SIMD
15,26,2,SIMD
16,26,2,MEMORY
17,84,2,MEMORY
18,66,2,SIMD
19,53,4,FMULT
20,10,4,MEMORY
21,75,4,MEMORY
22,76,4,FMULT
23,98,4,SIMD
24,55,4,MEMORY
25,27,1,FMULT
26,83,2,MEMORY
27,73,2,SIMD
28,41,1,MEMORY
29,21,4,MEMORY
30,72,2,MEMORY
31,39,2,FMULT
32,8,4,FMULT
33,21,4,MEMORY
34,32,4,SIMD
35,37,4,FMULT
36,54,2,MEMORY
37,46,2,MEMORY
38,57,2,FMULT
39,69,2,SIMD
40,35,2,FMULT
41,9,1,FMULT
42,61,2,SIMD
43,80,4,SIMD
44,18,4,FMULT
45,23,4,SIMD
46,4,2,SIMD
47,63,2,MEMORY
48,1,2,SIMD
49,15,2,SIMD
50,71,2,MEMORY
51,64,4,FMULT
52,39,1,FMULT
53,46,4,MEMORY
54,88,2,SIMD
55,48,1,SIMD
56,5,4,SIMD
57,53,4,SIMD
58,1,2,MEMORY
59,77,4,MEMORY
