id,workload,max_width,tasktype
0,55,2,MEMORY
1,23,4,MEMORY
2,49,2,FMULT
3,72,2,FMULT
4,76,2,MEMORY
5,86,2,FMULT
6,31,4,SIMD
7,12,2,SIMD
8,28,1,FMULT
9,8,1,MEMORY
10,48,1,MEMORY
11,12,1,FMULT
12,11,2,FMULT
13,7,2,FMULT
14,97,4,SIMD
15,76,2,FMULT
16,100,2,MEMORY
17,68,2,SIMD
18,82,4,MEMORY
19,17,4,SIMD
20,76,4,FMULT
21,17,4,MEMORY
22,4,4,FMULT
23,18,4,MEMORY
24,22,4,SIMD
25,38,4,MEMORY
26,40,1,MEMORY
27,5,1,SIMD
28,9,4,MEMORY
29,3,1,FMULT
30,35,1,SIMD
31,80,2,SIMD
32,8,2,SIMD
33,33,4,SIMD
34,55,4,MEMORY
35,66,4,SIMD
36,96,4,FMULT
37,95,2,SIMD
38,79,2,SIMD
39,21,4,FMULT
40,69,2,FMULT
41,9,4,SIMD
42,17,1,MEMORY
43,35,4,SIMD
44,93,2,SIMD
45,57,4,SIMD
46,100,4,SIMD
47,9,4,FMULT
48,41,4,MEMORY
49,2,4,SIMD
