id,workload,max_width,tasktype
0,22,1,MEMORY
1,43,4,FMULT
2,48,2,SIMD
3,50,2,MEMORY
4,32,1,SIMD
5,96,2,SIMD
6,51,2,FMULT
7,78,2,FMULT
8,65,4,MEMORY
9,32,4,MEMORY
10,22,2,SIMD
11,64,4,FMULT
12,40,2,SIMD
13,94,4,MEMORY
14,19,1,SIMD
15,38,1,MEMORY
16,26,4,FMULT
17,50,1,SIMD
18,70,4,MEMORY
19,2,1,SIMD
20,50,4,FMULT
21,58,4,FMULT
22,43,2,SIMD
23,42,1,FMULT
24,5,1,MEMORY
25,7,4,MEMORY
26,86,2,MEMORY
27,25,2,MEMORY
28,83,4,MEMORY
29,57,2,SIMD
30,70,2,MEMORY
31,47,4,MEMORY
32,56,2,FMULT
33,9,1,MEMORY
34,87,4,SIMD
35,90,4,SIMD
36,2,1,FMULT
37,99,4,MEMORY
38,98,4,SIMD
39,29,4,FMULT
40,67,2,SIMD
41,12,2,MEMORY
42,25,2,MEMORY
43,35,4,SIMD
44,37,1,FMULT
45,23,1,SIMD
46,95,2,MEMORY
47,24,2,SIMD
48,11,4,FMULT
49,9,2,MEMORY
