id,workload,max_width,tasktype
0,52,2,MEMORY
1,44,1,FMULT
2,67,2,MEMORY
3,34,4,MEMORY
4,86,2,FMULT
5,13,1,SIMD
6,75,2,FMULT
7,73,2,FMULT
8,4,4,FMULT
9,31,2,MEMORY
10,32,1,SIMD
11,1,2,FMULT
12,35,1,MEMORY
13,39,4,SIMD
14,30,1,MEMORY
15,80,4,MEMORY
16,44,1,FMULT
17,9,1,FMULT
18,29,1,FMULT
19,8,2,SIMD
20,30,2,MEMORY
21,74,2,SIMD
22,61,2,FMULT
23,14,1,MEMORY
24,39,2,FMULT
25,48,1,SIMD
26,32,1,MEMORY
27,96,2,SIMD
28,61,2,FMULT
29,48,4,MEMORY
30,27,4,FMULT
31,27,2,SIMD
32,21,4,SIMD
33,61,2,SIMD
34,89,2,SIMD
35,26,4,SIMD
36,23,1,FMULT
37,3,1,FMULT
38,68,2,MEMORY
39,60,4,FMULT
