id,workload,max_width,tasktype
0,81,4,SIMD
1,23,4,MEMORY
2,46,2,SIMD
3,3,2,MEMORY
4,29,4,SIMD
5,90,4,SIMD
6,94,4,FMULT
7,26,2,SIMD
8,16,1,SIMD
9,37,1,FMULT
10,9,1,SIMD
11,89,2,MEMORY
12,63,4,MEMORY
13,50,1,MEMORY
14,79,2,MEMORY
15,32,1,FMULT
16,42,1,MEMORY
17,48,4,SIMD
18,43,4,FMULT
19,90,2,SIMD
20,4,1,FMULT
21,63,4,SIMD
22,35,2,FMULT
23,50,4,MEMORY
24,19,2,MEMORY
25,14,4,MEMORY
26,100,4,MEMORY
27,60,4,MEMORY
28,80,2,MEMORY
29,19,2,MEMORY
30,7,2,MEMORY
31,71,2,MEMORY
32,17,1,SIMD
33,2,1,MEMORY
34,37,2,SIMD
35,51,2,SIMD
36,74,4,FMULT
37,25,1,MEMORY
38,29,1,MEMORY
39,48,2,SIMD
40,5,2,MEMORY
41,21,2,MEMORY
42,12,1,SIMD
43,1,4,FMULT
44,57,4,MEMORY
45,47,4,FMULT
46,50,4,SIMD
47,24,2,SIMD
48,24,2,SIMD
49,79,4,FMULT
50,91,4,MEMORY
51,70,2,SIMD
52,74,2,MEMORY
53,6,1,FMULT
54,38,4,MEMORY
55,71,4,MEMORY
56,5,2,MEMORY
57,13,4,FMULT
58,34,1,MEMORY
59,6,4,FMULT
