id,workload,max_width,tasktype
0,2,1,SIMD
1,47,4,MEMORY
2,44,4,SIMD
3,81,4,MEMORY
4,57,4,FMULT
5,83,2,SIMD
6,7,2,MEMORY
7,22,1,SIMD
8,41,4,FMULT
9,23,1,FMULT
10,43,1,FMULT
11,48,1,SIMD
12,72,4,MEMORY
13,71,4,SIMD
14,5,4,SIMD
15,73,2,MEMORY
16,35,4,SIMD
17,34,1,FMULT
18,29,1,MEMORY
19,80,4,SIMD
20,28,4,SIMD
21,72,4,MEMORY
22,31,4,SIMD
23,87,2,MEMORY
24,16,4,MEMORY
25,63,2,FMULT
26,2,2,SIMD
27,19,4,SIMD
28,74,2,FMULT
29,60,4,SIMD
30,87,4,FMULT
31,40,2,FMULT
32,69,4,FMULT
33,54,2,FMULT
34,80,4,MEMORY
35,12,4,MEMORY
36,87,2,MEMORY
37,76,4,SIMD
38,93,4,FMULT
39,78,4,SIMD
