id,workload,max_width,tasktype
0,51,2,FMULT
1,2,1,SIMD
2,53,2,SIMD
3,81,4,MEMORY
4,19,2,SIMD
5,66,2,FMULT
6,82,2,MEMORY
7,40,2,FMULT
8,76,4,MEMORY
9,23,1,SIMD
10,32,1,FMULT
11,16,1,MEMORY
12,18,4,SIMD
13,94,4,MEMORY
14,30,4,MEMORY
15,11,1,FMULT
16,26,2,MEMORY
17,2,1,FMULT
18,39,1,FMULT
19,88,2,FMULT
20,60,4,FMULT
21,35,1,SIMD
22,40,4,MEMORY
23,35,4,MEMORY
24,72,4,SIMD
25,39,4,MEMORY
26,50,2,FMULT
27,38,1,FMULT
28,9,4,FMULT
29,66,2,SIMD
30,46,2,SIMD
31,21,4,FMULT
32,74,2,FMULT
33,2,2,MEMORY
34,68,4,SIMD
35,16,2,SIMD
36,34,4,FMULT
37,76,4,FMULT
38,91,2,SIMD
39,59,2,MEMORY
40,16,1,FMULT
41,52,2,MEMORY
42,44,2,FMULT
43,70,2,SIMD
44,33,1,MEMORY
45,1,4,FMULT
46,4,4,MEMORY
47,42,1,MEMORY
48,40,4,FMULT
49,6,1,MEMORY
