id,workload,max_width,tasktype
0,2,1,MEMORY
1,11,2,MEMORY
2,57,4,FMULT
3,35,1,MEMORY
4,85,4,FMULT
5,52,4,SIMD
6,3,1,FMULT
7,82,2,FMULT
8,35,2,SIMD
9,67,2,FMULT
10,26,4,FMULT
11,3,1,MEMORY
12,7,4,MEMORY
13,22,1,MEMORY
14,14,2,MEMORY
15,57,4,MEMORY
16,33,2,FMULT
17,19,4,MEMORY
18,58,2,MEMORY
19,51,2,FMULT
20,46,1,MEMORY
21,59,2,SIMD
22,81,4,FMULT
23,35,1,MEMORY
24,64,4,SIMD
25,8,1,SIMD
26,63,4,MEMORY
27,25,2,SIMD
28,36,1,FMULT
29,23,2,SIMD
30,18,1,FMULT
31,95,4,MEMORY
32,86,4,SIMD
33,50,4,SIMD
34,24,4,SIMD
35,15,2,SIMD
36,17,4,FMULT
37,97,2,FMULT
38,69,2,SIMD
39,12,1,MEMORY
40,34,1,FMULT
41,22,2,MEMORY
42,71,2,MEMORY
43,29,2,FMULT
44,36,2,MEMORY
45,58,2,MEMORY
46,41,4,FMULT
47,6,4,SIMD
48,79,4,FMULT
49,35,2,FMULT
