id,workload,max_width,tasktype
0,81,4,FMULT
1,74,4,SIMD
2,14,4,SIMD
3,44,4,SIMD
4,40,2,FMULT
5,32,4,FMULT
6,49,4,FMULT
7,20,1,MEMORY
8,57,4,SIMD
9,46,2,SIMD
10,84,2,SIMD
11,64,4,SIMD
12,34,4,FMULT
13,2,4,FMULT
14,77,2,MEMORY
15,94,4,SIMD
16,32,1,SIMD
17,30,4,MEMORY
18,3,4,MEMORY
19,70,4,MEMORY
20,28,2,MEMORY
21,97,4,FMULT
22,74,2,MEMORY
23,60,4,FMULT
24,71,4,FMULT
25,14,1,MEMORY
26,96,2,FMULT
27,42,2,FMULT
28,9,2,SIMD
29,13,1,SIMD
30,28,1,SIMD
31,41,2,FMULT
32,70,4,FMULT
33,9,4,MEMORY
34,25,2,FMULT
35,49,4,SIMD
36,3,1,SIMD
37,11,2,FMULT
38,17,2,FMULT
39,20,1,MEMORY
40,76,2,SIMD
41,42,4,SIMD
42,73,4,FMULT
43,65,4,FMULT
44,36,4,MEMORY
45,4,4,SIMD
46,11,2,MEMORY
47,41,2,FMULT
48,45,2,SIMD
49,55,2,FMULT
