id,workload,max_width,tasktype
0,42,4,FMULT
1,14,4,FMULT
2,29,1,SIMD
3,34,2,FMULT
4,90,4,MEMORY
5,82,4,MEMORY
6,12,1,FMULT
7,19,1,MEMORY
8,21,1,SIMD
9,34,1,FMULT
10,60,4,FMULT
11,64,2,SIMD
12,63,2,SIMD
13,50,4,SIMD
14,14,2,SIMD
15,82,4,SIMD
16,19,2,MEMORY
17,46,1,SIMD
18,58,4,FMULT
19,56,2,SIMD
20,29,4,FMULT
21,94,2,MEMORY
22,96,4,FMULT
23,10,1,MEMORY
24,73,2,FMULT
25,2,1,MEMORY
26,96,2,FMULT
27,58,2,MEMORY
28,42,4,SIMD
29,16,2,MEMORY
30,60,2,FMULT
31,40,4,MEMORY
32,38,4,MEMORY
33,88,2,FMULT
34,90,4,MEMORY
35,81,4,MEMORY
36,71,2,MEMORY
37,74,2,MEMORY
38,29,4,SIMD
39,89,4,FMULT
40,14,1,FMULT
41,45,2,FMULT
42,60,4,MEMORY
43,50,2,SIMD
44,24,2,MEMORY
45,27,2,FMULT
46,50,4,SIMD
47,100,2,SIMD
48,51,4,SIMD
49,66,4,MEMORY
