id,workload,max_width,tasktype
0,47,1,SIMD
1,8,4,MEMORY
2,64,4,MEMORY
3,14,2,FMULT
4,23,1,MEMORY
5,30,2,SIMD
6,33,4,SIMD
7,76,4,MEMORY
8,7,4,FMULT
9,33,2,FMULT
10,53,4,MEMORY
11,13,2,FMULT
12,25,1,FMULT
13,88,4,MEMORY
14,76,4,SIMD
15,38,4,SIMD
16,89,4,SIMD
17,73,4,FMULT
18,34,1,SIMD
19,11,1,SIMD
20,47,2,MEMORY
21,99,2,FMULT
22,26,1,MEMORY
23,62,2,MEMORY
24,31,2,MEMORY
25,68,2,MEMORY
26,100,2,MEMORY
27,53,2,FMULT
28,71,4,MEMORY
29,30,1,MEMORY
30,16,4,SIMD
31,21,2,FMULT
32,44,1,MEMORY
33,93,2,SIMD
34,84,2,MEMORY
35,17,1,MEMORY
36,42,2,FMULT
37,63,4,SIMD
38,54,4,MEMORY
39,64,4,MEMORY
40,90,2,MEMORY
41,33,2,SIMD
42,77,4,MEMORY
43,29,4,FMULT
44,6,4,SIMD
45,14,2,MEMORY
46,51,4,MEMORY
47,37,4,FMULT
48,37,2,SIMD
49,19,1,SIMD
