id,workload,max_width,tasktype
0,79,4,MEMORY
1,21,2,FMULT
2,94,2,SIMD
3,9,1,FMULT
4,29,1,SIMD
5,32,2,MEMORY
6,21,4,SIMD
7,34,1,SIMD
8,69,4,FMULT
9,50,1,MEMORY
10,64,4,SIMD
11,11,4,FMULT
12,12,2,SIMD
13,29,2,SIMD
14,84,2,MEMORY
15,27,1,MEMORY
16,28,1,MEMORY
17,84,4,SIMD
18,8,1,SIMD
19,11,1,MEMORY
20,8,1,MEMORY
21,20,2,FMULT
22,36,2,FMULT
23,68,2,SIMD
24,13,1,SIMD
25,99,4,MEMORY
26,28,1,MEMORY
27,16,2,FMULT
28,14,2,MEMORY
29,35,2,MEMORY
30,61,4,FMULT
31,27,2,FMULT
32,4,4,FMULT
33,32,1,FMULT
34,17,2,SIMD
35,55,2,MEMORY
36,62,4,SIMD
37,80,2,MEMORY
38,25,1,SIMD
39,43,2,MEMORY
40,30,1,MEMORY
41,42,4,FMULT
42,91,4,FMULT
43,63,4,FMULT
44,98,2,FMULT
45,35,1,FMULT
46,63,2,FMULT
47,40,2,MEMORY
48,55,4,SIMD
49,19,4,MEMORY
