id,workload,max_width,tasktype
0,1,4,SIMD
1,74,2,FMULT
2,70,4,MEMORY
3,77,2,MEMORY
4,21,1,SIMD
5,90,4,MEMORY
6,30,4,MEMORY
7,22,2,SIMD
8,32,4,FMULT
9,45,1,SIMD
10,62,2,FMULT
11,91,2,SIMD
12,29,1,SIMD
13,88,4,FMULT
14,4,4,FMULT
15,6,4,MEMORY
16,9,2,MEMORY
17,54,4,SIMD
18,12,1,SIMD
19,12,1,MEMORY
20,35,1,SIMD
21,40,4,MEMORY
22,13,2,SIMD
23,39,2,SIMD
24,2,2,SIMD
25,62,4,MEMORY
26,94,4,MEMORY
27,29,4,FMULT
28,19,2,SIMD
29,45,4,MEMORY
30,51,4,SIMD
31,97,4,SIMD
32,86,2,FMULT
33,33,1,MEMORY
34,9,2,MEMORY
35,10,1,FMULT
36,16,4,FMULT
37,59,4,SIMD
38,53,4,SIMD
39,39,4,SIMD
