id,workload,max_width,tasktype
0,72,2,MEMORY
1,91,2,FMULT
2,58,4,SIMD
3,49,1,FMULT
4,9,4,MEMORY
5,8,1,FMULT
6,96,2,SIMD
7,75,2,SIMD
8,54,4,SIMD
9,22,2,SIMD
10,43,1,FMULT
11,80,4,FMULT
12,94,2,SIMD
13,20,1,FMULT
14,40,2,MEMORY
15,28,2,SIMD
16,99,4,MEMORY
17,93,4,FMULT
18,7,2,SIMD
19,32,1,MEMORY
20,45,4,FMULT
21,10,1,FMULT
22,92,4,MEMORY
23,99,4,FMULT
24,27,4,SIMD
25,36,1,MEMORY
26,76,4,SIMD
27,99,2,MEMORY
28,22,2,MEMORY
29,90,2,FMULT
30,24,1,FMULT
31,46,2,SIMD
32,41,1,SIMD
33,68,4,SIMD
34,64,4,SIMD
35,42,1,MEMORY
36,75,2,FMULT
37,59,2,SIMD
38,96,4,SIMD
39,96,4,FMULT
40,86,4,FMULT
41,74,4,SIMD
42,84,4,SIMD
43,97,2,SIMD
44,60,4,FMULT
45,46,4,MEMORY
46,1,4,SIMD
47,41,2,MEMORY
48,20,4,FMULT
49,72,4,SIMD
50,16,2,FMULT
51,41,1,SIMD
52,94,2,SIMD
53,43,2,MEMORY
54,11,4,MEMORY
55,13,1,FMULT
56,31,1,SIMD
57,18,1,MEMORY
58,26,4,SIMD
59,47,1,MEMORY
