id,workload,max_width,tasktype
0,46,1,FMULT
1,54,4,FMULT
2,22,1,SIMD
3,7,2,SIMD
4,100,4,SIMD
5,24,2,MEMORY
6,16,1,MEMORY
7,1,2,SIMD
8,12,4,SIMD
9,4,4,FMULT
10,48,1,SIMD
11,21,2,SIMD
12,30,4,SIMD
13,24,1,FMULT
14,14,1,MEMORY
15,36,4,MEMORY
16,33,2,FMULT
17,10,2,FMULT
18,65,2,FMULT
19,40,2,MEMORY
20,69,4,SIMD
21,80,2,MEMORY
22,16,4,MEMORY
23,11,4,MEMORY
24,42,2,FMULT
25,49,4,SIMD
26,57,4,FMULT
27,25,4,FMULT
28,18,1,MEMORY
29,87,4,FMULT
30,81,2,FMULT
31,62,2,SIMD
32,75,2,FMULT
33,44,1,MEMORY
34,33,1,SIMD
35,98,4,MEMORY
36,1,2,SIMD
37,93,2,SIMD
38,28,4,SIMD
39,16,4,SIMD
40,28,2,MEMORY
41,45,4,MEMORY
42,60,4,FMULT
43,18,4,SIMD
44,5,4,FMULT
45,59,4,SIMD
46,14,4,FMULT
47,1,2,FMULT
48,2,4,SIMD
49,84,2,FMULT
50,48,2,MEMORY
51,16,1,FMULT
52,31,4,MEMORY
53,1,4,SIMD
54,55,4,SIMD
55,46,2,MEMORY
56,38,2,MEMORY
57,100,4,FMULT
58,3,1,MEMORY
59,44,1,FMULT
