id,workload,max_width,tasktype
0,3,4,MEMORY
1,45,2,FMULT
2,86,2,MEMORY
3,59,2,MEMORY
4,46,1,MEMORY
5,21,2,MEMORY
6,76,4,SIMD
7,33,4,MEMORY
8,13,4,SIMD
9,19,1,SIMD
10,11,2,SIMD
11,47,2,MEMORY
12,49,2,SIMD
13,86,4,SIMD
14,62,4,SIMD
15,78,2,MEMORY
16,84,4,MEMORY
17,11,4,SIMD
18,78,4,FMULT
19,17,2,MEMORY
20,45,2,FMULT
21,34,2,SIMD
22,97,4,SIMD
23,60,4,FMULT
24,65,4,MEMORY
25,19,2,MEMORY
26,36,2,MEMORY
27,99,4,MEMORY
28,10,2,MEMORY
29,42,4,MEMORY
30,62,4,SIMD
31,82,2,FMULT
32,34,4,FMULT
33,47,4,FMULT
34,92,4,SIMD
35,64,2,SIMD
36,42,1,FMULT
37,32,4,SIMD
38,62,2,FMULT
39,55,2,FMULT
40,67,4,MEMORY
41,24,2,MEMORY
42,88,4,FMULT
43,73,2,MEMORY
44,25,2,FMULT
45,32,4,MEMORY
46,73,2,FMULT
47,24,1,SIMD
48,86,4,FMULT
49,62,2,MEMORY
