id,workload,max_width,tasktype
0,50,2,SIMD
1,7,4,MEMORY
2,53,4,MEMORY
3,2,1,MEMORY
4,47,1,MEMORY
5,34,4,FMULT
6,5,4,MEMORY
7,22,4,SIMD
8,58,2,FMULT
9,39,4,MEMORY
10,11,1,SIMD
11,35,4,FMULT
12,94,4,FMULT
13,97,4,MEMORY
14,63,4,MEMORY
15,35,4,MEMORY
16,4,2,SIMD
17,8,4,SIMD
18,67,4,FMULT
19,3,4,SIMD
20,35,4,SIMD
21,65,2,MEMORY
22,44,2,FMULT
23,31,2,FMULT
24,34,4,FMULT
25,61,2,MEMORY
26,29,4,SIMD
27,16,4,FMULT
28,80,4,FMULT
29,30,1,FMULT
30,63,2,FMULT
31,29,2,MEMORY
32,63,2,MEMORY
33,68,2,FMULT
34,43,4,SIMD
35,32,2,FMULT
36,1,2,MEMORY
37,92,4,SIMD
38,4,4,SIMD
39,93,4,MEMORY
40,26,2,SIMD
41,25,4,MEMORY
42,8,4,MEMORY
43,37,1,FMULT
44,5,2,FMULT
45,3,4,FMULT
46,10,4,FMULT
47,28,1,MEMORY
48,48,2,FMULT
49,35,2,SIMD
