id,workload,max_width,tasktype
0,97,4,SIMD
1,4,1,MEMORY
2,25,4,SIMD
3,85,4,FMULT
4,92,2,FMULT
5,63,2,SIMD
6,27,1,SIMD
7,27,1,FMULT
8,73,4,FMULT
9,58,2,SIMD
10,60,4,FMULT
11,50,4,FMULT
12,19,2,SIMD
13,13,4,SIMD
14,59,4,SIMD
15,86,4,SIMD
16,34,4,FMULT
17,13,4,SIMD
18,59,4,MEMORY
19,28,2,SIMD
20,4,2,FMULT
21,50,1,FMULT
22,93,2,FMULT
23,75,2,FMULT
24,34,1,FMULT
25,44,1,FMULT
26,58,4,SIMD
27,28,4,FMULT
28,50,2,SIMD
29,9,1,MEMORY
30,68,2,FMULT
31,43,1,SIMD
32,40,1,FMULT
33,49,2,MEMORY
34,5,1,FMULT
35,11,2,SIMD
36,92,4,FMULT
37,72,2,SIMD
38,29,2,SIMD
39,63,4,SIMD
