id,workload,max_width,tasktype
0,11,4,SIMD
1,80,4,FMULT
2,62,4,SIMD
3,42,1,SIMD
4,40,2,SIMD
5,3,1,MEMORY
6,31,1,MEMORY
7,53,4,MEMORY
8,10,4,MEMORY
9,8,4,FMULT
10,42,2,MEMORY
11,83,2,MEMORY
12,35,2,SIMD
13,36,1,FMULT
14,74,2,SIMD
15,39,4,FMULT
16,48,1,FMULT
17,7,1,MEMORY
18,84,2,FMULT
19,34,4,SIMD
20,75,2,FMULT
21,78,2,MEMORY
22,56,2,SIMD
23,34,2,FMULT
24,51,4,SIMD
25,41,2,SIMD
26,30,4,SIMD
27,18,2,FMULT
28,38,1,FMULT
29,29,1,SIMD
30,11,2,SIMD
31,81,2,FMULT
32,28,4,MEMORY
33,38,4,MEMORY
34,41,1,FMULT
35,74,4,SIMD
36,10,4,FMULT
37,35,1,FMULT
38,90,4,SIMD
39,98,4,MEMORY
40,61,2,MEMORY
41,76,4,FMULT
42,8,4,SIMD
43,21,2,MEMORY
44,20,2,FMULT
45,31,1,FMULT
46,19,4,MEMORY
47,29,1,FMULT
48,85,4,FMULT
49,35,1,FMULT
50,41,4,MEMORY
51,37,2,FMULT
52,99,4,SIMD
53,94,4,MEMORY
54,6,4,MEMORY
55,25,1,MEMORY
56,26,2,MEMORY
57,14,2,FMULT
58,86,2,SIMD
59,25,1,SIMD
