id,workload,max_width,tasktype
0,32,2,FMULT
1,46,1,MEMORY
2,18,1,FMULT
3,84,2,FMULT
4,52,2,FMULT
5,16,1,MEMORY
6,48,2,FMULT
7,8,1,MEMORY
8,52,4,SIMD
9,14,4,SIMD
10,34,2,MEMORY
11,91,2,MEMORY
12,47,2,SIMD
13,55,4,SIMD
14,6,4,SIMD
15,86,4,MEMORY
16,19,1,FMULT
17,32,2,FMULT
18,40,1,SIMD
19,16,2,FMULT
20,27,1,MEMORY
21,33,1,SIMD
22,36,1,SIMD
23,98,2,FMULT
24,11,2,FMULT
25,56,2,SIMD
26,76,4,FMULT
27,59,4,SIMD
28,99,2,MEMORY
29,67,4,MEMORY
30,7,1,MEMORY
31,16,4,MEMORY
32,6,4,MEMORY
33,38,4,FMULT
34,27,4,SIMD
35,81,4,SIMD
36,23,1,MEMORY
37,3,2,SIMD
38,98,4,FMULT
39,22,2,FMULT
40,97,2,SIMD
41,61,2,MEMORY
42,59,4,SIMD
43,61,4,MEMORY
44,27,2,FMULT
45,61,2,FMULT
46,22,1,MEMORY
47,40,2,FMULT
48,39,2,SIMD
49,32,1,FMULT
