id,workload,max_width,tasktype
0,9,4,MEMORY
1,84,4,FMULT
2,29,2,SIMD
3,71,4,MEMORY
4,71,2,SIMD
5,42,1,FMULT
6,32,2,MEMORY
7,65,2,SIMD
8,8,2,FMULT
9,14,2,SIMD
10,61,4,SIMD
11,64,4,MEMORY
12,32,4,MEMORY
13,69,4,FMULT
14,46,1,FMULT
15,50,2,FMULT
16,45,1,SIMD
17,89,2,MEMORY
18,92,2,FMULT
19,98,2,MEMORY
20,48,1,SIMD
21,53,2,FMULT
22,6,2,MEMORY
23,44,1,MEMORY
24,62,2,SIMD
25,48,1,SIMD
26,1,1,SIMD
27,46,1,FMULT
28,61,4,MEMORY
29,63,2,SIMD
30,83,2,MEMORY
31,80,4,SIMD
32,31,1,SIMD
33,94,4,MEMORY
34,29,1,SIMD
35,47,1,FMULT
36,33,4,MEMORY
37,85,2,SIMD
38,61,4,SIMD
39,55,2,MEMORY
40,62,2,SIMD
41,13,4,MEMORY
42,30,1,SIMD
43,24,1,MEMORY
44,21,2,SIMD
45,8,4,SIMD
46,89,4,MEMORY
47,89,2,SIMD
48,68,4,FMULT
49,51,2,FMULT
50,52,2,SIMD
51,60,2,FMULT
52,65,2,FMULT
53,80,4,MEMORY
54,30,4,MEMORY
55,63,2,SIMD
56,96,4,SIMD
57,17,2,MEMORY
58,8,4,SIMD
59,67,4,FMULT
