id,workload,max_width,tasktype
0,21,2,MEMORY
1,85,2,FMULT
2,15,2,SIMD
3,38,2,SIMD
4,36,1,SIMD
5,40,4,MEMORY
6,16,2,SIMD
7,15,1,SIMD
8,34,1,MEMORY
9,99,4,FMULT
10,56,4,MEMORY
11,21,4,FMULT
12,5,4,SIMD
13,25,1,SIMD
14,74,2,SIMD
15,80,4,MEMORY
16,32,1,MEMORY
17,72,2,SIMD
18,72,4,FMULT
19,33,4,SIMD
20,98,4,SIMD
21,25,4,MEMORY
22,50,2,SIMD
23,88,4,SIMD
24,42,1,FMULT
25,55,4,MEMORY
26,33,4,SIMD
27,67,2,SIMD
28,19,4,SIMD
29,47,2,SIMD
30,57,2,SIMD
31,74,2,MEMORY
32,51,2,FMULT
33,67,2,MEMORY
34,94,2,SIMD
35,20,2,MEMORY
36,41,1,MEMORY
37,28,1,SIMD
38,22,2,SIMD
39,42,4,FMULT
