id,workload,max_width,tasktype
0,100,4,MEMORY
1,25,4,SIMD
2,17,4,SIMD
3,28,2,SIMD
4,73,4,FMULT
5,47,4,SIMD
6,77,4,FMULT
7,83,4,FMULT
8,39,2,MEMORY
9,48,4,SIMD
10,93,4,SIMD
11,78,4,FMULT
12,19,1,FMULT
13,5,4,MEMORY
14,29,1,SIMD
15,4,2,MEMORY
16,30,1,FMULT
17,43,2,MEMORY
18,22,1,MEMORY
19,13,1,SIMD
20,14,1,SIMD
21,78,4,SIMD
22,49,4,FMULT
23,19,4,SIMD
24,91,2,SIMD
25,61,2,FMULT
26,36,2,MEMORY
27,45,1,FMULT
28,48,1,FMULT
29,77,4,SIMD
30,44,1,FMULT
31,90,4,FMULT
32,37,2,MEMORY
33,15,1,FMULT
34,16,4,FMULT
35,84,4,FMULT
36,60,4,SIMD
37,87,2,SIMD
38,49,2,FMULT
39,74,2,SIMD
40,50,2,MEMORY
41,72,4,FMULT
42,49,1,SIMD
43,65,2,FMULT
44,7,4,FMULT
45,27,2,MEMORY
46,31,2,FMULT
47,16,2,MEMORY
48,35,4,SIMD
49,79,2,SIMD
