id,workload,max_width,tasktype
0,4,2,SIMD
1,96,4,FMULT
2,27,2,MEMORY
3,37,1,FMULT
4,82,2,MEMORY
5,2,2,MEMORY
6,55,4,MEMORY
7,98,4,SIMD
8,47,4,SIMD
9,63,2,MEMORY
10,10,4,SIMD
11,46,4,MEMORY
12,34,2,SIMD
13,1,4,SIMD
14,55,2,SIMD
15,16,4,SIMD
16,4,4,MEMORY
17,13,2,FMULT
18,9,1,SIMD
19,67,2,FMULT
20,65,2,SIMD
21,75,4,MEMORY
22,54,4,FMULT
23,77,2,FMULT
24,71,4,MEMORY
25,16,4,FMULT
26,46,4,SIMD
27,8,1,SIMD
28,38,4,FMULT
29,8,2,MEMORY
30,74,2,FMULT
31,27,2,MEMORY
32,14,4,FMULT
33,19,1,MEMORY
34,80,2,MEMORY
35,29,2,SIMD
36,14,1,SIMD
37,24,1,FMULT
38,6,1,MEMORY
39,93,2,FMULT
40,4,1,FMULT
41,32,2,SIMD
42,96,4,FMULT
43,43,4,MEMORY
44,80,4,FMULT
45,28,1,MEMORY
46,85,2,SIMD
47,89,2,MEMORY
48,25,1,FMULT
49,91,4,MEMORY
