id,workload,max_width,tasktype
0,46,2,MEMORY
1,49,4,MEMORY
2,65,4,MEMORY
3,1,4,SIMD
4,52,2,FMULT
5,20,1,MEMORY
6,51,2,FMULT
7,97,4,MEMORY
8,6,2,FMULT
9,10,1,MEMORY
10,42,1,FMULT
11,37,2,FMULT
12,79,2,MEMORY
13,88,2,SIMD
14,46,4,SIMD
15,11,1,MEMORY
16,64,4,SIMD
17,61,4,SIMD
18,11,1,FMULT
19,22,2,SIMD
20,71,4,FMULT
21,50,1,SIMD
22,61,2,MEMORY
23,9,1,MEMORY
24,47,2,SIMD
25,2,4,MEMORY
26,37,1,FMULT
27,26,4,FMULT
28,28,2,FMULT
29,66,4,FMULT
30,58,4,MEMORY
31,71,2,SIMD
32,37,1,FMULT
33,20,4,MEMORY
34,13,2,FMULT
35,13,4,SIMD
36,82,4,MEMORY
37,100,4,FMULT
38,6,1,MEMORY
39,44,1,MEMORY
40,33,1,MEMORY
41,48,1,FMULT
42,17,1,MEMORY
43,65,2,MEMORY
44,85,4,FMULT
45,30,4,SIMD
46,33,2,SIMD
47,49,2,SIMD
48,76,2,FMULT
49,97,4,SIMD
