id,workload,max_width,tasktype
0,58,4,SIMD
1,19,1,MEMORY
2,53,2,FMULT
3,87,4,FMULT
4,77,4,SIMD
5,4,1,FMULT
6,27,4,MEMORY
7,63,4,FMULT
8,92,4,MEMORY
9,60,4,FMULT
10,77,4,FMULT
11,1,2,FMULT
12,89,2,FMULT
13,7,1,FMULT
14,23,4,SIMD
15,31,1,MEMORY
16,47,1,FMULT
17,41,2,FMULT
18,100,2,FMULT
19,42,4,FMULT
20,97,2,MEMORY
21,88,2,MEMORY
22,47,1,SIMD
23,59,2,SIMD
24,77,2,SIMD
25,33,2,MEMORY
26,98,2,MEMORY
27,46,2,MEMORY
28,21,2,SIMD
29,13,1,SIMD
30,79,4,MEMORY
31,13,4,FMULT
32,73,4,FMULT
33,86,2,FMULT
34,25,2,MEMORY
35,93,2,FMULT
36,29,2,MEMORY
37,90,2,SIMD
38,30,1,FMULT
39,67,4,SIMD
40,56,4,MEMORY
41,45,2,SIMD
42,25,2,FMULT
43,4,4,MEMORY
44,93,2,MEMORY
45,76,2,SIMD
46,27,1,MEMORY
47,36,1,FMULT
48,88,4,MEMORY
49,81,2,SIMD
