id,workload,max_width,tasktype
0,36,1,MEMORY
1,56,4,SIMD
2,22,1,MEMORY
3,14,4,SIMD
4,95,2,MEMORY
5,38,1,MEMORY
6,3,1,SIMD
7,61,2,FMULT
8,89,4,SIMD
9,54,4,MEMORY
10,99,4,MEMORY
11,3,4,MEMORY
12,7,2,SIMD
13,96,2,MEMORY
14,42,1,MEMORY
15,68,2,FMULT
16,60,4,FMULT
17,9,4,SIMD
18,90,4,FMULT
19,13,1,MEMORY
20,71,2,MEMORY
21,1,1,MEMORY
22,81,2,FMULT
23,78,2,SIMD
24,71,4,SIMD
25,28,4,MEMORY
26,32,1,MEMORY
27,33,4,FMULT
28,20,4,SIMD
29,90,4,FMULT
30,97,4,MEMORY
31,94,2,MEMORY
32,27,2,SIMD
33,54,4,SIMD
34,96,2,FMULT
35,40,2,FMULT
36,28,4,MEMORY
37,17,2,MEMORY
38,36,1,FMULT
39,61,2,FMULT
40,96,4,FMULT
41,31,1,FMULT
42,83,2,SIMD
43,76,2,FMULT
44,5,1,MEMORY
45,89,2,FMULT
46,94,4,SIMD
47,31,4,SIMD
48,47,1,SIMD
49,63,2,SIMD
