id,workload,max_width,tasktype
0,48,2,SIMD
1,9,1,FMULT
2,44,4,FMULT
3,70,2,MEMORY
4,96,4,FMULT
5,19,2,SIMD
6,32,2,MEMORY
7,16,2,MEMORY
8,53,2,FMULT
9,20,1,FMULT
10,49,4,MEMORY
11,80,4,FMULT
12,5,1,SIMD
13,48,1,SIMD
14,40,2,MEMORY
15,6,4,MEMORY
16,62,2,MEMORY
17,37,2,SIMD
18,94,2,FMULT
19,55,2,FMULT
20,80,2,MEMORY
21,53,4,SIMD
22,96,2,FMULT
23,22,1,SIMD
24,31,1,SIMD
25,35,1,FMULT
26,80,4,SIMD
27,20,4,MEMORY
28,25,2,SIMD
29,19,1,MEMORY
30,68,2,FMULT
31,3,1,SIMD
32,33,2,MEMORY
33,6,2,SIMD
34,71,4,MEMORY
35,99,4,SIMD
36,40,2,FMULT
37,11,4,SIMD
38,61,4,MEMORY
39,25,2,MEMORY
40,61,2,MEMORY
41,44,1,FMULT
42,5,4,SIMD
43,19,2,FMULT
44,1,1,FMULT
45,32,4,MEMORY
46,43,2,MEMORY
47,24,1,SIMD
48,57,4,FMULT
49,59,2,MEMORY
