id,workload,max_width,tasktype
0,45,1,MEMORY
1,29,4,MEMORY
2,62,2,MEMORY
3,27,4,FMULT
4,72,2,SIMD
5,94,4,SIMD
6,39,1,MEMORY
7,38,2,MEMORY
8,75,4,MEMORY
9,52,4,FMULT
10,2,4,MEMORY
11,86,2,FMULT
12,72,2,MEMORY
13,31,4,SIMD
14,51,2,MEMORY
15,41,4,MEMORY
16,62,4,SIMD
17,98,4,MEMORY
18,18,2,FMULT
19,75,2,MEMORY
20,34,1,FMULT
21,17,4,MEMORY
22,9,4,MEMORY
23,42,2,SIMD
24,36,4,FMULT
25,35,4,SIMD
26,41,1,FMULT
27,50,2,FMULT
28,57,4,FMULT
29,73,2,SIMD
30,32,1,FMULT
31,75,2,MEMORY
32,13,1,FMULT
33,33,2,FMULT
34,36,1,FMULT
35,43,1,MEMORY
36,71,4,SIMD
37,74,4,FMULT
38,3,4,MEMORY
39,85,4,MEMORY
40,17,4,FMULT
41,100,2,SIMD
42,29,2,FMULT
43,16,1,SIMD
44,43,2,MEMORY
45,74,2,FMULT
46,53,2,FMULT
47,41,1,MEMORY
48,92,2,MEMORY
49,81,4,SIMD
