id,workload,max_width,tasktype
0,12,4,MEMORY
1,46,1,SIMD
2,41,2,FMULT
3,22,4,FMULT
4,57,4,MEMORY
5,4,1,FMULT
6,70,2,MEMORY
7,28,4,FMULT
8,92,4,FMULT
9,36,1,SIMD
10,47,4,FMULT
11,71,4,MEMORY
12,98,2,MEMORY
13,67,4,MEMORY
14,35,2,FMULT
15,50,1,FMULT
16,62,4,FMULT
17,98,4,MEMORY
18,76,4,SIMD
19,46,4,MEMORY
20,72,2,SIMD
21,82,2,FMULT
22,87,2,MEMORY
23,36,4,MEMORY
24,71,4,FMULT
25,5,4,SIMD
26,55,2,SIMD
27,50,2,SIMD
28,96,4,SIMD
29,47,2,MEMORY
30,3,1,SIMD
31,73,2,MEMORY
32,49,1,FMULT
33,30,1,MEMORY
34,47,4,SIMD
35,53,2,MEMORY
36,27,1,MEMORY
37,43,2,FMULT
38,38,4,SIMD
39,86,4,FMULT
