id,workload,max_width,tasktype
0,4,2,FMULT
1,70,4,FMULT
2,67,2,MEMORY
3,52,4,FMULT
4,46,4,SIMD
5,64,2,SIMD
6,15,2,FMULT
7,22,2,FMULT
8,13,1,FMULT
9,61,2,MEMORY
10,80,4,FMULT
11,85,4,SIMD
12,36,2,SIMD
13,14,2,SIMD
14,77,4,SIMD
15,26,2,FMULT
16,21,1,MEMORY
17,27,1,SIMD
18,62,2,MEMORY
19,52,4,FMULT
20,9,2,SIMD
21,29,1,FMULT
22,56,4,FMULT
23,25,2,FMULT
24,93,4,SIMD
25,27,4,SIMD
26,91,4,MEMORY
27,38,2,MEMORY
28,13,4,MEMORY
29,4,1,MEMORY
30,41,1,SIMD
31,36,4,SIMD
32,65,4,MEMORY
33,53,2,FMULT
34,48,2,MEMORY
35,71,4,FMULT
36,50,1,FMULT
37,59,4,MEMORY
38,76,2,FMULT
39,45,1,FMULT
40,46,2,FMULT
41,19,1,MEMORY
42,15,4,MEMORY
43,66,2,MEMORY
44,16,4,FMULT
45,20,2,MEMORY
46,57,2,SIMD
47,12,4,FMULT
48,33,4,FMULT
49,51,2,FMULT
