id,workload,max_width,tasktype
0,21,4,SIMD
1,43,4,FMULT
2,56,2,SIMD
3,41,1,MEMORY
4,16,2,MEMORY
5,31,4,MEMORY
6,1,2,FMULT
7,84,2,MEMORY
8,20,4,SIMD
9,25,1,FMULT
10,87,2,FMULT
11,78,4,SIMD
12,11,4,MEMORY
13,50,1,SIMD
14,31,1,FMULT
15,14,4,SIMD
16,72,2,FMULT
17,45,4,FMULT
18,3,4,FMULT
19,85,2,MEMORY
20,9,1,MEMORY
21,80,4,MEMORY
22,25,4,MEMORY
23,73,4,FMULT
24,91,4,FMULT
25,11,2,MEMORY
26,48,2,MEMORY
27,18,1,MEMORY
28,91,4,MEMORY
29,4,4,FMULT
30,65,4,FMULT
31,26,1,SIMD
32,37,1,MEMORY
33,6,4,SIMD
34,31,2,FMULT
35,16,4,FMULT
36,17,1,SIMD
37,26,4,FMULT
38,99,2,FMULT
39,8,1,FMULT
40,42,2,SIMD
41,96,2,MEMORY
42,11,1,SIMD
43,61,2,FMULT
44,7,2,MEMORY
45,46,1,SIMD
46,42,2,SIMD
47,6,2,FMULT
48,58,2,SIMD
49,29,4,MEMORY
