id,workload,max_width,tasktype
0,74,4,FMULT
1,7,1,SIMD
2,75,2,SIMD
3,22,1,SIMD
4,68,4,SIMD
5,54,2,MEMORY
6,3,2,FMULT
7,2,4,MEMORY
8,9,2,FMULT
9,39,2,SIMD
10,25,4,SIMD
11,85,2,SIMD
12,42,4,FMULT
13,35,1,MEMORY
14,55,4,FMULT
15,54,4,SIMD
16,86,2,FMULT
17,1,2,MEMORY
18,56,4,FMULT
19,17,1,FMULT
20,96,2,FMULT
21,62,2,MEMORY
22,27,1,MEMORY
23,6,4,SIMD
24,33,1,FMULT
25,35,1,MEMORY
26,66,2,SIMD
27,13,2,SIMD
28,35,1,SIMD
29,22,4,SIMD
30,95,2,SIMD
31,72,4,FMULT
32,10,1,SIMD
33,30,4,FMULT
34,6,4,FMULT
35,67,2,MEMORY
36,6,1,SIMD
37,21,1,FMULT
38,23,4,FMULT
39,37,4,FMULT
40,28,1,MEMORY
41,51,4,MEMORY
42,76,4,MEMORY
43,49,2,SIMD
44,59,2,MEMORY
45,43,4,SIMD
46,92,4,FMULT
47,44,2,MEMORY
48,7,4,SIMD
49,4,2,SIMD
