id,workload,max_width,tasktype
0,38,1,MEMORY
1,88,4,SIMD
2,45,4,MEMORY
3,32,4,FMULT
4,69,2,SIMD
5,9,2,FMULT
6,43,1,SIMD
7,15,1,MEMORY
8,33,2,FMULT
9,86,4,FMULT
10,10,4,SIMD
11,33,4,MEMORY
12,27,4,MEMORY
13,60,4,MEMORY
14,29,4,FMULT
15,59,2,FMULT
16,96,2,SIMD
17,52,4,MEMORY
18,23,4,FMULT
19,90,4,MEMORY
20,52,4,MEMORY
21,20,4,MEMORY
22,22,4,MEMORY
23,94,2,SIMD
24,43,4,SIMD
25,10,1,FMULT
26,52,2,FMULT
27,48,2,MEMORY
28,91,2,SIMD
29,28,4,FMULT
30,58,2,SIMD
31,92,2,FMULT
32,86,4,SIMD
33,65,4,FMULT
34,66,4,FMULT
35,85,4,SIMD
36,21,1,MEMORY
37,62,4,MEMORY
38,16,4,FMULT
39,68,2,MEMORY
