id,workload,max_width,tasktype
0,65,2,SIMD
1,54,2,FMULT
2,38,1,MEMORY
3,13,2,FMULT
4,76,4,SIMD
5,18,4,MEMORY
6,84,4,SIMD
7,66,4,FMULT
8,89,2,FMULT
9,11,4,SIMD
10,45,2,MEMORY
11,95,2,MEMORY
12,86,2,MEMORY
13,71,2,SIMD
14,40,2,SIMD
15,49,2,FMULT
16,7,2,SIMD
17,15,4,MEMORY
18,1,2,FMULT
19,36,4,SIMD
20,71,4,FMULT
21,95,4,FMULT
22,44,1,MEMORY
23,28,1,FMULT
24,27,4,SIMD
25,95,2,MEMORY
26,23,2,FMULT
27,70,4,SIMD
28,79,2,FMULT
29,88,2,FMULT
30,72,2,SIMD
31,60,4,SIMD
32,25,2,FMULT
33,89,4,FMULT
34,44,2,SIMD
35,80,4,FMULT
36,20,4,FMULT
37,48,1,MEMORY
38,27,1,FMULT
39,49,4,MEMORY
40,10,1,FMULT
41,37,2,FMULT
42,8,4,SIMD
43,41,2,MEMORY
44,15,1,FMULT
45,12,1,SIMD
46,88,4,FMULT
47,42,2,FMULT
48,20,4,MEMORY
49,8,4,FMULT
50,86,2,MEMORY
51,24,4,FMULT
52,15,2,MEMORY
53,16,2,MEMORY
54,82,2,MEMORY
55,82,4,MEMORY
56,46,1,FMULT
57,65,4,SIMD
58,86,4,MEMORY
59,88,4,MEMORY
