id,workload,max_width,tasktype
0,37,4,FMULT
1,21,1,FMULT
2,28,1,SIMD
3,75,4,MEMORY
4,89,4,MEMORY
5,94,4,SIMD
6,38,1,FMULT
7,63,2,FMULT
8,1,2,MEMORY
9,43,1,SIMD
10,76,4,SIMD
11,21,4,MEMORY
12,41,4,SIMD
13,12,2,MEMORY
14,47,1,FMULT
15,22,1,SIMD
16,31,2,SIMD
17,52,2,SIMD
18,36,4,MEMORY
19,10,2,MEMORY
20,97,2,SIMD
21,52,2,SIMD
22,99,2,MEMORY
23,31,2,SIMD
24,52,4,FMULT
25,11,1,FMULT
26,33,2,FMULT
27,8,2,SIMD
28,34,4,FMULT
29,27,1,SIMD
30,1,2,MEMORY
31,59,4,SIMD
32,88,4,MEMORY
33,55,2,MEMORY
34,21,1,SIMD
35,89,4,SIMD
36,37,1,SIMD
37,60,4,MEMORY
38,100,2,FMULT
39,19,4,FMULT
