id,workload,max_width,tasktype
0,11,1,SIMD
1,1,4,SIMD
2,99,2,FMULT
3,70,4,MEMORY
4,47,1,MEMORY
5,20,2,FMULT
6,39,2,FMULT
7,36,2,SIMD
8,89,4,MEMORY
9,46,1,FMULT
10,13,2,MEMORY
11,98,2,SIMD
12,17,1,FMULT
13,55,4,MEMORY
14,47,2,SIMD
15,92,4,MEMORY
16,32,1,MEMORY
17,26,2,MEMORY
18,4,4,SIMD
19,46,1,MEMORY
20,69,2,MEMORY
21,88,4,FMULT
22,21,4,MEMORY
23,34,4,FMULT
24,33,1,MEMORY
25,15,2,MEMORY
26,46,4,SIMD
27,37,4,FMULT
28,76,2,MEMORY
29,52,2,SIMD
30,84,4,SIMD
31,15,2,FMULT
32,15,2,MEMORY
33,78,4,MEMORY
34,61,2,MEMORY
35,19,1,MEMORY
36,90,2,SIMD
37,18,1,FMULT
38,15,2,SIMD
39,86,2,MEMORY
40,52,4,FMULT
41,48,1,MEMORY
42,3,1,FMULT
43,88,4,SIMD
44,11,1,MEMORY
45,67,4,SIMD
46,80,4,FMULT
47,57,2,SIMD
48,91,2,SIMD
49,37,2,SIMD
50,83,2,SIMD
51,18,1,FMULT
52,34,4,MEMORY
53,98,4,SIMD
54,78,4,FMULT
55,44,1,FMULT
56,84,4,SIMD
57,16,1,FMULT
58,54,4,FMULT
59,28,4,SIMD
