id,workload,max_width,tasktype
0,4,4,SIMD
1,96,4,MEMORY
2,89,4,FMULT
3,79,2,SIMD
4,26,2,FMULT
5,25,4,FMULT
6,39,4,FMULT
7,43,4,SIMD
8,23,4,MEMORY
9,95,4,FMULT
10,13,4,SIMD
11,99,4,MEMORY
12,50,1,MEMORY
13,91,2,FMULT
14,65,4,SIMD
15,59,4,MEMORY
16,97,2,SIMD
17,62,4,MEMORY
18,83,2,MEMORY
19,89,2,FMULT
20,26,4,SIMD
21,46,2,MEMORY
22,5,2,SIMD
23,35,1,SIMD
24,14,2,SIMD
25,17,1,SIMD
26,86,4,SIMD
27,87,2,SIMD
28,45,4,MEMORY
29,9,1,MEMORY
30,72,2,FMULT
31,34,2,SIMD
32,36,4,FMULT
33,28,1,FMULT
34,53,4,SIMD
35,29,1,SIMD
36,51,4,FMULT
37,35,2,MEMORY
38,3,2,MEMORY
39,87,4,FMULT
40,68,4,SIMD
41,16,1,SIMD
42,29,1,FMULT
43,62,2,MEMORY
44,7,1,FMULT
45,63,4,MEMORY
46,19,4,FMULT
47,95,4,SIMD
48,1,4,FMULT
49,82,2,SIMD
