id,workload,max_width,tasktype
0,4,2,SIMD
1,28,1,MEMORY
2,29,2,MEMORY
3,45,4,FMULT
4,54,4,MEMORY
5,21,4,SIMD
6,77,2,SIMD
7,73,4,FMULT
8,3,2,SIMD
9,23,2,SIMD
10,68,4,FMULT
11,32,2,FMULT
12,87,4,FMULT
13,69,2,SIMD
14,55,2,MEMORY
15,67,4,MEMORY
16,75,2,SIMD
17,30,2,FMULT
18,69,2,FMULT
19,5,4,SIMD
20,92,4,SIMD
21,69,2,MEMORY
22,6,2,FMULT
23,41,1,MEMORY
24,22,2,FMULT
25,70,2,MEMORY
26,3,4,FMULT
27,55,2,SIMD
28,33,4,FMULT
29,27,2,MEMORY
30,79,2,MEMORY
31,70,4,MEMORY
32,68,4,SIMD
33,3,4,SIMD
34,71,4,FMULT
35,50,4,FMULT
36,35,2,MEMORY
37,5,1,MEMORY
38,46,1,FMULT
39,20,2,FMULT
40,20,1,FMULT
41,3,1,FMULT
42,49,4,SIMD
43,4,2,FMULT
44,79,4,FMULT
45,27,1,MEMORY
46,40,2,MEMORY
47,17,4,MEMORY
48,65,2,MEMORY
49,2,2,SIMD
50,38,1,MEMORY
51,83,4,MEMORY
52,32,1,SIMD
53,35,1,SIMD
54,70,4,SIMD
55,59,2,MEMORY
56,39,1,MEMORY
57,33,2,SIMD
58,40,1,SIMD
59,12,1,MEMORY
