id,workload,max_width,tasktype
0,8,1,SIMD
1,31,2,SIMD
2,30,4,SIMD
3,71,4,MEMORY
4,84,4,MEMORY
5,95,2,MEMORY
6,21,1,SIMD
7,78,4,MEMORY
8,20,4,SIMD
9,17,4,MEMORY
10,4,2,SIMD
11,39,2,SIMD
12,15,1,SIMD
13,9,2,FMULT
14,94,4,FMULT
15,22,1,MEMORY
16,36,1,FMULT
17,12,4,SIMD
18,82,4,MEMORY
19,36,2,SIMD
20,36,4,SIMD
21,16,1,SIMD
22,90,2,SIMD
23,11,1,MEMORY
24,76,2,MEMORY
25,73,2,SIMD
26,81,2,MEMORY
27,92,2,FMULT
28,19,1,FMULT
29,74,2,MEMORY
30,42,2,FMULT
31,96,2,MEMORY
32,81,2,MEMORY
33,77,4,SIMD
34,69,2,FMULT
35,42,1,SIMD
36,44,2,FMULT
37,32,4,FMULT
38,1,2,SIMD
39,27,1,MEMORY
40,12,4,MEMORY
41,66,4,SIMD
42,40,1,MEMORY
43,19,1,MEMORY
44,5,1,SIMD
45,98,4,FMULT
46,36,4,SIMD
47,33,4,FMULT
48,61,4,SIMD
49,7,1,SIMD
