id,workload,max_width,tasktype
0,94,2,FMULT
1,82,4,MEMORY
2,24,1,FMULT
3,36,2,SIMD
4,26,2,SIMD
5,16,1,MEMORY
6,71,4,MEMORY
7,71,2,FMULT
8,60,2,FMULT
9,62,4,MEMORY
10,35,1,SIMD
11,28,4,SIMD
12,41,2,FMULT
13,69,4,MEMORY
14,48,4,FMULT
15,94,2,SIMD
16,64,2,MEMORY
17,56,2,MEMORY
18,11,2,SIMD
19,99,4,MEMORY
20,45,2,SIMD
21,14,1,SIMD
22,22,2,MEMORY
23,62,4,FMULT
24,27,2,MEMORY
25,39,2,MEMORY
26,2,1,SIMD
27,25,2,FMULT
28,32,2,FMULT
29,71,2,MEMORY
30,28,1,FMULT
31,6,1,MEMORY
32,41,4,FMULT
33,46,1,MEMORY
34,19,4,SIMD
35,15,4,FMULT
36,79,4,FMULT
37,65,4,SIMD
38,50,1,SIMD
39,20,4,MEMORY
