id,workload,max_width,tasktype
0,28,4,MEMORY
1,95,2,SIMD
2,62,2,SIMD
3,9,4,MEMORY
4,64,4,SIMD
5,44,4,FMULT
6,17,2,MEMORY
7,28,2,FMULT
8,59,2,SIMD
9,6,1,MEMORY
10,33,1,FMULT
11,45,1,SIMD
12,17,1,MEMORY
13,97,4,FMULT
14,1,1,SIMD
15,48,2,FMULT
16,72,4,MEMORY
17,29,4,FMULT
18,59,4,SIMD
19,19,4,MEMORY
20,89,4,MEMORY
21,41,4,MEMORY
22,48,2,FMULT
23,46,4,FMULT
24,21,2,MEMORY
25,61,4,FMULT
26,6,4,MEMORY
27,5,1,FMULT
28,51,4,MEMORY
29,3,2,FMULT
30,16,2,MEMORY
31,28,1,FMULT
32,45,1,SIMD
33,5,2,FMULT
34,84,2,FMULT
35,49,4,FMULT
36,15,4,MEMORY
37,38,4,SIMD
38,14,2,SIMD
39,41,4,MEMORY
40,4,1,FMULT
41,12,2,FMULT
42,14,4,MEMORY
43,13,2,SIMD
44,11,4,MEMORY
45,70,4,SIMD
46,67,4,FMULT
47,69,2,SIMD
48,32,2,MEMORY
49,99,2,SIMD
50,59,2,SIMD
51,90,4,SIMD
52,28,1,FMULT
53,34,4,MEMORY
54,90,2,FMULT
55,5,2,FMULT
56,48,2,MEMORY
57,23,1,FMULT
58,81,2,MEMORY
59,84,4,MEMORY
