id,workload,max_width,tasktype
0,28,4,FMULT
1,21,2,SIMD
2,46,4,FMULT
3,38,2,MEMORY
4,25,1,SIMD
5,9,4,FMULT
6,50,4,FMULT
7,69,2,SIMD
8,28,4,MEMORY
9,34,4,SIMD
10,5,2,MEMORY
11,12,4,MEMORY
12,97,4,SIMD
13,94,4,SIMD
14,40,1,MEMORY
15,39,2,FMULT
16,91,2,MEMORY
17,33,4,SIMD
18,75,4,MEMORY
19,46,4,MEMORY
20,14,2,SIMD
21,91,2,MEMORY
22,20,2,FMULT
23,33,1,FMULT
24,45,4,FMULT
25,43,4,SIMD
26,3,2,SIMD
27,35,4,SIMD
28,6,4,MEMORY
29,99,2,MEMORY
30,82,4,SIMD
31,35,2,SIMD
32,31,4,SIMD
33,64,2,MEMORY
34,34,2,MEMORY
35,59,4,SIMD
36,90,2,MEMORY
37,8,1,FMULT
38,44,1,MEMORY
39,85,4,MEMORY
