id,workload,max_width,tasktype
0,57,2,MEMORY
1,9,1,MEMORY
2,58,4,SIMD
3,73,4,MEMORY
4,18,4,SIMD
5,59,4,FMULT
6,17,2,FMULT
7,45,2,MEMORY
8,36,2,FMULT
9,70,4,MEMORY
10,77,4,SIMD
11,16,2,FMULT
12,64,4,FMULT
13,76,4,FMULT
14,86,2,FMULT
15,4,1,MEMORY
16,2,2,FMULT
17,40,2,SIMD
18,14,2,MEMORY
19,11,1,MEMORY
20,56,4,FMULT
21,48,2,MEMORY
22,53,2,SIMD
23,80,4,FMULT
24,13,2,MEMORY
25,66,2,SIMD
26,78,4,SIMD
27,31,2,SIMD
28,20,2,SIMD
29,50,4,FMULT
30,74,2,MEMORY
31,58,4,FMULT
32,52,4,SIMD
33,100,4,FMULT
34,96,4,FMULT
35,55,2,FMULT
36,51,2,MEMORY
37,35,1,MEMORY
38,17,4,FMULT
39,25,4,FMULT
40,19,2,FMULT
41,92,4,SIMD
42,55,4,MEMORY
43,51,2,MEMORY
44,8,1,MEMORY
45,88,2,MEMORY
46,74,2,MEMORY
47,30,1,FMULT
48,49,2,MEMORY
49,85,2,SIMD
