id,workload,max_width,tasktype
0,81,2,MEMORY
1,15,4,FMULT
2,92,4,FMULT
3,20,4,MEMORY
4,42,1,MEMORY
5,19,2,SIMD
6,44,1,MEMORY
7,9,2,SIMD
8,34,2,FMULT
9,93,4,FMULT
10,38,4,MEMORY
11,22,2,FMULT
12,59,4,FMULT
13,33,2,SIMD
14,53,2,FMULT
15,37,4,FMULT
16,4,4,FMULT
17,35,1,MEMORY
18,3,1,FMULT
19,63,4,SIMD
20,22,4,FMULT
21,43,1,MEMORY
22,69,4,MEMORY
23,22,4,FMULT
24,21,2,MEMORY
25,26,1,MEMORY
26,10,4,FMULT
27,16,4,MEMORY
28,64,2,SIMD
29,78,2,FMULT
30,64,2,MEMORY
31,70,2,FMULT
32,63,2,FMULT
33,51,4,MEMORY
34,20,2,MEMORY
35,79,2,FMULT
36,40,1,FMULT
37,32,2,SIMD
38,28,2,FMULT
39,8,2,SIMD
40,69,4,MEMORY
41,64,4,SIMD
42,100,4,FMULT
43,6,4,SIMD
44,4,4,FMULT
45,48,2,SIMD
46,88,2,FMULT
47,3,4,SIMD
48,8,1,MEMORY
49,1,2,FMULT
50,82,4,MEMORY
51,2,4,SIMD
52,11,4,MEMORY
53,53,2,SIMD
54,48,4,MEMORY
55,88,4,MEMORY
56,39,1,FMULT
57,85,2,FMULT
58,34,1,SIMD
59,78,4,MEMORY
