id,workload,max_width,tasktype
0,17,4,SIMD
1,74,2,SIMD
2,95,4,SIMD
3,18,2,SIMD
4,100,2,MEMORY
5,58,4,MEMORY
6,89,2,SIMD
7,23,2,MEMORY
8,8,1,MEMORY
9,23,4,FMULT
10,9,1,MEMORY
11,81,2,MEMORY
12,86,2,FMULT
13,43,1,FMULT
14,47,2,SIMD
15,25,1,SIMD
16,25,2,SIMD
17,8,4,FMULT
18,36,1,MEMORY
19,67,2,SIMD
20,3,1,SIMD
21,33,4,SIMD
22,98,2,FMULT
23,20,4,MEMORY
24,6,4,MEMORY
25,53,2,SIMD
26,27,2,SIMD
27,8,4,SIMD
28,35,1,SIMD
29,8,1,FMULT
30,53,2,MEMORY
31,77,2,FMULT
32,50,1,FMULT
33,23,4,SIMD
34,34,4,FMULT
35,15,1,FMULT
36,87,2,SIMD
37,72,2,FMULT
38,57,2,MEMORY
39,16,4,FMULT
